https://www.ecdc.europa.eu/en/novel-coronavirus-china/sources-updated,day,month,year,cases,deaths,countries,geoId,countryterritoryCode,popData2018,continent,Total.cases,Total.deaths
3/16/2020,16,3,2020,3,0,India,IN,IND,1352617328,Asia,,
3/15/2020,15,3,2020,7,0,India,IN,IND,1352617328,Asia,,
3/14/2020,14,3,2020,8,1,India,IN,IND,1352617328,Asia,,
3/13/2020,13,3,2020,2,1,India,IN,IND,1352617328,Asia,,
3/12/2020,12,3,2020,23,0,India,IN,IND,1352617328,Asia,,
3/11/2020,11,3,2020,6,0,India,IN,IND,1352617328,Asia,,
3/10/2020,10,3,2020,10,0,India,IN,IND,1352617328,Asia,,
3/8/2020,8,3,2020,3,0,India,IN,IND,1352617328,Asia,,
3/7/2020,7,3,2020,2,0,India,IN,IND,1352617328,Asia,,
3/6/2020,6,3,2020,1,0,India,IN,IND,1352617328,Asia,,
3/5/2020,5,3,2020,22,0,India,IN,IND,1352617328,Asia,,
3/4/2020,4,3,2020,1,0,India,IN,IND,1352617328,Asia,,
3/3/2020,3,3,2020,2,0,India,IN,IND,1352617328,Asia,,
3/2/2020,2,3,2020,0,0,India,IN,IND,1352617328,Asia,,
3/1/2020,1,3,2020,0,0,India,IN,IND,1352617328,Asia,,
2/29/2020,29,2,2020,0,0,India,IN,IND,1352617328,Asia,,
2/28/2020,28,2,2020,0,0,India,IN,IND,1352617328,Asia,,
2/27/2020,27,2,2020,0,0,India,IN,IND,1352617328,Asia,,
2/26/2020,26,2,2020,0,0,India,IN,IND,1352617328,Asia,,
2/25/2020,25,2,2020,0,0,India,IN,IND,1352617328,Asia,,
2/24/2020,24,2,2020,0,0,India,IN,IND,1352617328,Asia,,
2/23/2020,23,2,2020,0,0,India,IN,IND,1352617328,Asia,,
2/22/2020,22,2,2020,0,0,India,IN,IND,1352617328,Asia,,
2/21/2020,21,2,2020,0,0,India,IN,IND,1352617328,Asia,,
2/20/2020,20,2,2020,0,0,India,IN,IND,1352617328,Asia,,
2/19/2020,19,2,2020,0,0,India,IN,IND,1352617328,Asia,,
2/18/2020,18,2,2020,0,0,India,IN,IND,1352617328,Asia,,
2/17/2020,17,2,2020,0,0,India,IN,IND,1352617328,Asia,,
2/16/2020,16,2,2020,0,0,India,IN,IND,1352617328,Asia,,
2/15/2020,15,2,2020,0,0,India,IN,IND,1352617328,Asia,,
2/14/2020,14,2,2020,0,0,India,IN,IND,1352617328,Asia,,
2/13/2020,13,2,2020,0,0,India,IN,IND,1352617328,Asia,,
2/12/2020,12,2,2020,0,0,India,IN,IND,1352617328,Asia,,
2/11/2020,11,2,2020,0,0,India,IN,IND,1352617328,Asia,,
2/10/2020,10,2,2020,0,0,India,IN,IND,1352617328,Asia,,
2/9/2020,9,2,2020,0,0,India,IN,IND,1352617328,Asia,,
2/8/2020,8,2,2020,0,0,India,IN,IND,1352617328,Asia,,
2/7/2020,7,2,2020,0,0,India,IN,IND,1352617328,Asia,,
2/6/2020,6,2,2020,0,0,India,IN,IND,1352617328,Asia,,
2/5/2020,5,2,2020,0,0,India,IN,IND,1352617328,Asia,,
2/4/2020,4,2,2020,1,0,India,IN,IND,1352617328,Asia,,
2/3/2020,3,2,2020,0,0,India,IN,IND,1352617328,Asia,,
2/2/2020,2,2,2020,1,0,India,IN,IND,1352617328,Asia,,
2/1/2020,1,2,2020,0,0,India,IN,IND,1352617328,Asia,,
1/31/2020,31,1,2020,0,0,India,IN,IND,1352617328,Asia,,
1/30/2020,30,1,2020,1,0,India,IN,IND,1352617328,Asia,,
1/29/2020,29,1,2020,0,0,India,IN,IND,1352617328,Asia,,
1/28/2020,28,1,2020,0,0,India,IN,IND,1352617328,Asia,,
1/27/2020,27,1,2020,0,0,India,IN,IND,1352617328,Asia,,
1/26/2020,26,1,2020,0,0,India,IN,IND,1352617328,Asia,,
1/25/2020,25,1,2020,0,0,India,IN,IND,1352617328,Asia,,
1/24/2020,24,1,2020,0,0,India,IN,IND,1352617328,Asia,,
1/23/2020,23,1,2020,0,0,India,IN,IND,1352617328,Asia,,
1/22/2020,22,1,2020,0,0,India,IN,IND,1352617328,Asia,,
1/21/2020,21,1,2020,0,0,India,IN,IND,1352617328,Asia,,
1/20/2020,20,1,2020,0,0,India,IN,IND,1352617328,Asia,,
1/19/2020,19,1,2020,0,0,India,IN,IND,1352617328,Asia,,
1/18/2020,18,1,2020,0,0,India,IN,IND,1352617328,Asia,,
1/17/2020,17,1,2020,0,0,India,IN,IND,1352617328,Asia,,
1/16/2020,16,1,2020,0,0,India,IN,IND,1352617328,Asia,,
1/15/2020,15,1,2020,0,0,India,IN,IND,1352617328,Asia,,
1/14/2020,14,1,2020,0,0,India,IN,IND,1352617328,Asia,,
1/13/2020,13,1,2020,0,0,India,IN,IND,1352617328,Asia,,
1/12/2020,12,1,2020,0,0,India,IN,IND,1352617328,Asia,,
1/11/2020,11,1,2020,0,0,India,IN,IND,1352617328,Asia,,
1/10/2020,10,1,2020,0,0,India,IN,IND,1352617328,Asia,,
1/9/2020,9,1,2020,0,0,India,IN,IND,1352617328,Asia,,
1/8/2020,8,1,2020,0,0,India,IN,IND,1352617328,Asia,,
1/7/2020,7,1,2020,0,0,India,IN,IND,1352617328,Asia,,
1/6/2020,6,1,2020,0,0,India,IN,IND,1352617328,Asia,,
1/5/2020,5,1,2020,0,0,India,IN,IND,1352617328,Asia,,
1/4/2020,4,1,2020,0,0,India,IN,IND,1352617328,Asia,,
1/3/2020,3,1,2020,0,0,India,IN,IND,1352617328,Asia,,
1/2/2020,2,1,2020,0,0,India,IN,IND,1352617328,Asia,,
1/1/2020,1,1,2020,0,0,India,IN,IND,1352617328,Asia,,
12/31/2019,31,12,2019,0,0,India,IN,IND,1352617328,Asia,21393,681
4/23/2020,23,4,2020,1194,94,Iran,IR,IRN,81800269,Asia,,
4/22/2020,22,4,2020,1297,88,Iran,IR,IRN,81800269,Asia,,
4/21/2020,21,4,2020,1294,91,Iran,IR,IRN,81800269,Asia,,
4/20/2020,20,4,2020,1343,87,Iran,IR,IRN,81800269,Asia,,
4/19/2020,19,4,2020,1374,73,Iran,IR,IRN,81800269,Asia,,
4/18/2020,18,4,2020,1499,89,Iran,IR,IRN,81800269,Asia,,
4/17/2020,17,4,2020,1606,92,Iran,IR,IRN,81800269,Asia,,
4/16/2020,16,4,2020,1512,94,Iran,IR,IRN,81800269,Asia,,
4/15/2020,15,4,2020,1574,98,Iran,IR,IRN,81800269,Asia,,
4/14/2020,14,4,2020,1617,111,Iran,IR,IRN,81800269,Asia,,
4/13/2020,13,4,2020,1657,117,Iran,IR,IRN,81800269,Asia,,
4/12/2020,12,4,2020,1837,125,Iran,IR,IRN,81800269,Asia,,
4/11/2020,11,4,2020,1972,122,Iran,IR,IRN,81800269,Asia,,
4/10/2020,10,4,2020,1634,117,Iran,IR,IRN,81800269,Asia,,
4/9/2020,9,4,2020,1997,121,Iran,IR,IRN,81800269,Asia,,
4/8/2020,8,4,2020,2089,133,Iran,IR,IRN,81800269,Asia,,
4/7/2020,7,4,2020,2274,136,Iran,IR,IRN,81800269,Asia,,
4/6/2020,6,4,2020,2483,151,Iran,IR,IRN,81800269,Asia,,
4/5/2020,5,4,2020,5275,292,Iran,IR,IRN,81800269,Asia,,
4/4/2020,4,4,2020,0,0,Iran,IR,IRN,81800269,Asia,,
4/3/2020,3,4,2020,2875,124,Iran,IR,IRN,81800269,Asia,,
4/2/2020,2,4,2020,2987,138,Iran,IR,IRN,81800269,Asia,,
4/1/2020,1,4,2020,3111,141,Iran,IR,IRN,81800269,Asia,,
3/31/2020,31,3,2020,3186,117,Iran,IR,IRN,81800269,Asia,,
3/30/2020,30,3,2020,2901,123,Iran,IR,IRN,81800269,Asia,,
3/29/2020,29,3,2020,3076,139,Iran,IR,IRN,81800269,Asia,,
3/28/2020,28,3,2020,2926,144,Iran,IR,IRN,81800269,Asia,,
3/27/2020,27,3,2020,2389,157,Iran,IR,IRN,81800269,Asia,,
3/26/2020,26,3,2020,2206,143,Iran,IR,IRN,81800269,Asia,,
3/25/2020,25,3,2020,1762,122,Iran,IR,IRN,81800269,Asia,,
3/24/2020,24,3,2020,1411,127,Iran,IR,IRN,81800269,Asia,,
3/23/2020,23,3,2020,1028,129,Iran,IR,IRN,81800269,Asia,,
3/22/2020,22,3,2020,966,123,Iran,IR,IRN,81800269,Asia,,
3/21/2020,21,3,2020,1237,149,Iran,IR,IRN,81800269,Asia,,
3/20/2020,20,3,2020,1046,149,Iran,IR,IRN,81800269,Asia,,
3/19/2020,19,3,2020,1192,147,Iran,IR,IRN,81800269,Asia,,
3/18/2020,18,3,2020,1178,135,Iran,IR,IRN,81800269,Asia,,
3/17/2020,17,3,2020,1053,129,Iran,IR,IRN,81800269,Asia,,
3/16/2020,16,3,2020,1209,113,Iran,IR,IRN,81800269,Asia,,
3/15/2020,15,3,2020,1365,97,Iran,IR,IRN,81800269,Asia,,
3/14/2020,14,3,2020,1289,85,Iran,IR,IRN,81800269,Asia,,
3/13/2020,13,3,2020,1075,75,Iran,IR,IRN,81800269,Asia,,
3/12/2020,12,3,2020,958,63,Iran,IR,IRN,81800269,Asia,,
3/11/2020,11,3,2020,881,54,Iran,IR,IRN,81800269,Asia,,
3/10/2020,10,3,2020,595,43,Iran,IR,IRN,81800269,Asia,,
3/9/2020,9,3,2020,743,49,Iran,IR,IRN,81800269,Asia,,
3/8/2020,8,3,2020,1076,21,Iran,IR,IRN,81800269,Asia,,
3/7/2020,7,3,2020,1234,17,Iran,IR,IRN,81800269,Asia,,
3/6/2020,6,3,2020,591,15,Iran,IR,IRN,81800269,Asia,,
3/5/2020,5,3,2020,586,15,Iran,IR,IRN,81800269,Asia,,
3/4/2020,4,3,2020,835,11,Iran,IR,IRN,81800269,Asia,,
3/3/2020,3,3,2020,523,12,Iran,IR,IRN,81800269,Asia,,
3/2/2020,2,3,2020,385,11,Iran,IR,IRN,81800269,Asia,,
3/1/2020,1,3,2020,205,9,Iran,IR,IRN,81800269,Asia,,
2/29/2020,29,2,2020,143,8,Iran,IR,IRN,81800269,Asia,,
2/28/2020,28,2,2020,106,7,Iran,IR,IRN,81800269,Asia,,
2/27/2020,27,2,2020,44,4,Iran,IR,IRN,81800269,Asia,,
2/26/2020,26,2,2020,34,3,Iran,IR,IRN,81800269,Asia,,
2/25/2020,25,2,2020,18,4,Iran,IR,IRN,81800269,Asia,,
2/24/2020,24,2,2020,15,3,Iran,IR,IRN,81800269,Asia,,
2/23/2020,23,2,2020,10,1,Iran,IR,IRN,81800269,Asia,,
2/22/2020,22,2,2020,13,2,Iran,IR,IRN,81800269,Asia,,
2/21/2020,21,2,2020,3,0,Iran,IR,IRN,81800269,Asia,,
2/20/2020,20,2,2020,2,2,Iran,IR,IRN,81800269,Asia,,
2/19/2020,19,2,2020,0,0,Iran,IR,IRN,81800269,Asia,,
2/18/2020,18,2,2020,0,0,Iran,IR,IRN,81800269,Asia,,
2/17/2020,17,2,2020,0,0,Iran,IR,IRN,81800269,Asia,,
2/16/2020,16,2,2020,0,0,Iran,IR,IRN,81800269,Asia,,
2/15/2020,15,2,2020,0,0,Iran,IR,IRN,81800269,Asia,,
2/14/2020,14,2,2020,0,0,Iran,IR,IRN,81800269,Asia,,
2/13/2020,13,2,2020,0,0,Iran,IR,IRN,81800269,Asia,,
2/12/2020,12,2,2020,0,0,Iran,IR,IRN,81800269,Asia,,
2/11/2020,11,2,2020,0,0,Iran,IR,IRN,81800269,Asia,,
2/10/2020,10,2,2020,0,0,Iran,IR,IRN,81800269,Asia,,
2/9/2020,9,2,2020,0,0,Iran,IR,IRN,81800269,Asia,,
2/8/2020,8,2,2020,0,0,Iran,IR,IRN,81800269,Asia,,
2/7/2020,7,2,2020,0,0,Iran,IR,IRN,81800269,Asia,,
2/6/2020,6,2,2020,0,0,Iran,IR,IRN,81800269,Asia,,
2/5/2020,5,2,2020,0,0,Iran,IR,IRN,81800269,Asia,,
2/4/2020,4,2,2020,0,0,Iran,IR,IRN,81800269,Asia,,
2/3/2020,3,2,2020,0,0,Iran,IR,IRN,81800269,Asia,,
2/2/2020,2,2,2020,0,0,Iran,IR,IRN,81800269,Asia,,
2/1/2020,1,2,2020,0,0,Iran,IR,IRN,81800269,Asia,,
1/31/2020,31,1,2020,0,0,Iran,IR,IRN,81800269,Asia,,
1/30/2020,30,1,2020,0,0,Iran,IR,IRN,81800269,Asia,,
1/29/2020,29,1,2020,0,0,Iran,IR,IRN,81800269,Asia,,
1/28/2020,28,1,2020,0,0,Iran,IR,IRN,81800269,Asia,,
1/27/2020,27,1,2020,0,0,Iran,IR,IRN,81800269,Asia,,
1/26/2020,26,1,2020,0,0,Iran,IR,IRN,81800269,Asia,,
1/25/2020,25,1,2020,0,0,Iran,IR,IRN,81800269,Asia,,
1/24/2020,24,1,2020,0,0,Iran,IR,IRN,81800269,Asia,,
1/23/2020,23,1,2020,0,0,Iran,IR,IRN,81800269,Asia,,
1/22/2020,22,1,2020,0,0,Iran,IR,IRN,81800269,Asia,,
1/21/2020,21,1,2020,0,0,Iran,IR,IRN,81800269,Asia,,
1/20/2020,20,1,2020,0,0,Iran,IR,IRN,81800269,Asia,,
1/19/2020,19,1,2020,0,0,Iran,IR,IRN,81800269,Asia,,
1/18/2020,18,1,2020,0,0,Iran,IR,IRN,81800269,Asia,,
1/17/2020,17,1,2020,0,0,Iran,IR,IRN,81800269,Asia,,
1/16/2020,16,1,2020,0,0,Iran,IR,IRN,81800269,Asia,,
1/15/2020,15,1,2020,0,0,Iran,IR,IRN,81800269,Asia,,
1/14/2020,14,1,2020,0,0,Iran,IR,IRN,81800269,Asia,,
1/13/2020,13,1,2020,0,0,Iran,IR,IRN,81800269,Asia,,
1/12/2020,12,1,2020,0,0,Iran,IR,IRN,81800269,Asia,,
1/11/2020,11,1,2020,0,0,Iran,IR,IRN,81800269,Asia,,
1/10/2020,10,1,2020,0,0,Iran,IR,IRN,81800269,Asia,,
1/9/2020,9,1,2020,0,0,Iran,IR,IRN,81800269,Asia,,
1/8/2020,8,1,2020,0,0,Iran,IR,IRN,81800269,Asia,,
1/7/2020,7,1,2020,0,0,Iran,IR,IRN,81800269,Asia,,
1/6/2020,6,1,2020,0,0,Iran,IR,IRN,81800269,Asia,,
1/5/2020,5,1,2020,0,0,Iran,IR,IRN,81800269,Asia,,
1/4/2020,4,1,2020,0,0,Iran,IR,IRN,81800269,Asia,,
1/3/2020,3,1,2020,0,0,Iran,IR,IRN,81800269,Asia,,
1/2/2020,2,1,2020,0,0,Iran,IR,IRN,81800269,Asia,,
1/1/2020,1,1,2020,0,0,Iran,IR,IRN,81800269,Asia,,
12/31/2019,31,12,2019,0,0,Iran,IR,IRN,81800269,Asia,85996,5391
4/23/2020,23,4,2020,650,7,Israel,IL,ISR,8883800,Asia,,
4/22/2020,22,4,2020,229,7,Israel,IL,ISR,8883800,Asia,,
4/21/2020,21,4,2020,222,5,Israel,IL,ISR,8883800,Asia,,
4/20/2020,20,4,2020,226,8,Israel,IL,ISR,8883800,Asia,,
4/19/2020,19,4,2020,283,13,Israel,IL,ISR,8883800,Asia,,
4/18/2020,18,4,2020,224,9,Israel,IL,ISR,8883800,Asia,,
4/17/2020,17,4,2020,257,12,Israel,IL,ISR,8883800,Asia,,
4/16/2020,16,4,2020,455,7,Israel,IL,ISR,8883800,Asia,,
4/15/2020,15,4,2020,460,7,Israel,IL,ISR,8883800,Asia,,
4/14/2020,14,4,2020,441,13,Israel,IL,ISR,8883800,Asia,,
4/13/2020,13,4,2020,402,2,Israel,IL,ISR,8883800,Asia,,
4/12/2020,12,4,2020,335,6,Israel,IL,ISR,8883800,Asia,,
4/11/2020,11,4,2020,440,9,Israel,IL,ISR,8883800,Asia,,
4/10/2020,10,4,2020,564,15,Israel,IL,ISR,8883800,Asia,,
4/9/2020,9,4,2020,156,6,Israel,IL,ISR,8883800,Asia,,
